Title,Directors,genres,Actors
In the Name of the Father,Jim Sheridan,"Drama, Based on a true story, Terrorism, IRA, Prison Drama, Courtroom Drama / Lawyers, 1970s, Biography","Daniel Day-Lewis, Emma Thompson, Pete Postlethwaite, John Lynch, Beatie Edney, Mark Sheppard, Don Baker, Frank Harper, Saffron Burrows, Tom Wilkinson, Gerard McSorley"
Full Metal Jacket,Stanley Kubrick,"War, Drama, Vietnam war, Army, Cult Movie","Matthew Modine, ""Vincent DOnofrio"", R. Lee Ermey, Adam Baldwin, Arliss Howard, Dorian Harewood, Kevyn Major Howard, ""Ed ORoss"", Gary Landon Mills, Sal López, John Stafford, Kieron Jecchinis, Ngoc Le, Papillon Soo Soo, Bruce Boa"
The Shining,Stanley Kubrick,"Horror, Supernatural, Haunted Houses, Ghosts, Psychological Drama, Cult Movie","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Joe Turkel, Lia Beldam, Billie Gibson, Barry Dennen, David Baxt, Manning Redwood, Lisa Burns"
Greed,Erich von Stroheim,"Drama, Poverty, Friendship, Jealousy, Melodrama, Psychological Drama, Silent Film","Gibson Gowland, ZaSu Pitts, Jean Hersholt, Chester Conklin, Sylvia Ashton, Dale Fuller, Joan Standing, Austin Jewel, Tempe Pigott"
La Strada,Federico Fellini,"Drama, Neorealism, Stage Play, Road Movie","Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani, Marcella Rovere"
The Crowd,King Vidor,"Drama, Melodrama, Silent Film","James Murray, Eleanor Boardman, Bert Roach, Estelle Clark, Lucy Beaumont, Daniel G. Tomlinson, Dell Henderson, Sidney Bracey, Virginia Sale, Pat Harmon, Larry Steers, Warner Richmond, Freddie Burke Frederick, Sally Eilers"
Umberto D.,Vittorio De Sica,"Drama, Neorealism, Old Age / Elderly, Dogs/Wolves, Poverty","Carlo Battisti, Maria Pia Casilio, Lina Gennari, Memmo Carotenuto"
Captains Courageous,Victor Fleming,"Adventure, Drama, Sea Adventures, Friendship, Fishing, Childhood","Spencer Tracy, Freddie Bartholomew, Lionel Barrymore, Melvyn Douglas, Mickey Rooney, John Carradine, ""Dennis OKeefe"""
The Treasure of the Sierra Madre,John Huston,"Adventure, Western, 1920s","Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna"
Sleuth,Joseph L. Mankiewicz,"Mystery, Psychological Drama, Black Comedy, One Location","Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews, Eve Channing"
The Holy Innocents,Mario Camus,"Drama, Social Drama, Small Town Life (Non-North American), 1960s, Hunting","Alfredo Landa, Francisco Rabal, Juan Diego, Terele Pávez, Agustín González, Manuel Zarzo, Belén Ballesteros, Juan Sanchez, Ágata Lys, Mary Carrillo, José Guardiola, Maribel Martín"
Reservoir Dogs,Quentin Tarantino,"Thriller, Action, Crime, Neo-noir, Heist Film, One Location, Independent Film (US), Cult Movie","Tim Roth, Harvey Keitel, Steve Buscemi, Michael Madsen, Chris Penn, Lawrence Tierney, Randy Brooks, Kirk Baltz, Edward Bunker, Quentin Tarantino, Burr Steers"
Days of Wine and Roses,Blake Edwards,"Drama, Romance, Alcoholism","Jack Lemmon, Lee Remick, Charles Bickford, Jack Klugman, Alan Hewitt, Tom Palmer, Jack Albertson, Debbie Megowan"
The Front Page,Billy Wilder,"Comedy, Satire, Journalism, 1920s, Remake","Jack Lemmon, Walter Matthau, Susan Sarandon, Vincent Gardenia, David Wayne, Allen Garfield, Austin Pendleton, Charles Durning, Herb Edelman, Martin Gabel, Harold Gould, Cliff Osmond, Dick O´Neill"
The Dark Knight,Christopher Nolan,"Thriller, Action, Drama, Superheroes, Based on a Comic, DC Comics, Sequel, Cult Movie","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Gary Oldman, Morgan Freeman, Maggie Gyllenhaal, Eric Roberts, Cillian Murphy, Chin Han, Michael Jai White, William Fichtner, Monique Gabriela Curnen"
Fight Club,David Fincher,"Drama, Thriller, Satire, Psychological Drama, Cult Movie, Black Comedy","Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Van Quattro, Markus Redmond, Michael Girardin, Rachel Singer, Eion Bailey, David Lee Smith, Zach Grenier, Richmond Arquette"
Children of Paradise,Marcel Carné,"Romance, Drama, Stage Play, 19th Century, Romantic Drama, French Poetic Realism","Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir, Arletty, Marcel Herrand, María Casares, Louis Salou, Gérard Blain"
Day of Wrath,Carl Theodor Dreyer,"Drama, 17th Century, Religion, Witchcraft, Small Town Life (Non-North American)",
The Heiress,William Wyler,"Drama, Romance, 19th Century, Melodrama, Romantic Drama","Olivia de Havilland, Montgomery Clift, Ralph Richardson, Miriam Hopkins, Vanessa Brown, Mona Freeman, Ray Collins, Selena Royle, Betty Linley, Paul Lees, Harry Antrim, Russ Conway, David Thursby, Sam Harris, Donald Kerr, Albert Pollet"
The Wages of Fear,H.G. Clouzot,"Adventure, Thriller, Drama, Cult Movie","Yves Montand, Charles Vanel, Véra Clouzot, Peter van Eyck, Folco Lulli, William Tubbs, Dario Moreno, Jo Dest"
The Big Heat,Fritz Lang,"Film noir, Mystery, Thriller, Cop Movies, Crime, Mafia","Glenn Ford, Gloria Grahame, Lee Marvin, Jocelyn Brando, Alexander Scourby, Jeanette Nolan, Peter Whitney, Willis Bouchey, Robert Burton, Adam Williams, Howard Wendell, Chris Alcaide"
Persona,Ingmar Bergman,"Drama, Stage Play, Cult Movie","Liv Ullmann, Bibi Andersson, Margaretha Krook, Gunnar Björnstrand"
The Seventh Seal,Ingmar Bergman,"Drama, 14th Century, Middle Ages, Religion, Chess, Pandemic, Cult Movie","Max von Sydow, Gunnar Björnstrand, Nils Poppe, Bibi Andersson, Bengt Ekerot, Gunnel Lindblom, Maud Hansson, Ake Fridell"
Duck Soup,Leo McCarey,"Comedy, Musical","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Margaret Dumont, Louis Calhern, Raquel Torres, Edgar Kennedy, ""Dennis OKeefe"""
Blade Runner,Ridley Scott,"Sci-Fi, Action, Neo-noir, Futuristic Thriller, Cyberpunk, Dystopia, Robots, Cult Movie","Harrison Ford, Rutger Hauer, Sean Young, Daryl Hannah, Edward James Olmos, Joanna Cassidy, Brion James, Joe Turkel, M. Emmet Walsh, William Sanderson, James Hong, Morgan Paull, Hy Pyke"
Woman in the Dunes,Hiroshi Teshigahara,"Drama, Thriller, Psychological Drama, Insects","Eiji Okada, Kyôko Kishida, Hiroko Ito, Hideo Kanze, Tamotsu Tamura, Kiyohiko Ichihara, Koji Mitsui, Ginzô Sekiguchi, Hiroyuki Nishimoto"
White Heat,Raoul Walsh,"Film noir, Prison Drama, Crime","James Cagney, Virginia Mayo, ""Edmond OBrien"", Margaret Wycherly, Steve Cochran, John Archer, Wally Cassell, Fred Clark"
Placido,Luis García Berlanga,"Comedy, Poverty, Christmas, Satire","Cassen, José Luis López Vázquez, Elvira Quintilla, Amelia de la Torre, Julia Caba Alba, Amparo Soler Leal, Manuel Alexandre, Mari Carmen Yepes, Agustín González, Luis Ciges, Antonio Ferrandis, José Orjas, Xan das Bolas"
The Secret in Their Eyes,Juan José Campanella,"Thriller, Mystery, Drama, 1970s, Crime, Argentinian Dictatorship, Cop Movies","Ricardo Darín, Soledad Villamil, Pablo Rago, Javier Godino, Guillermo Francella, José Luis Gioia, Mario Alarcón, Mariano Argento, Kiko Cerone, David Di Nápoli, Carla Quevedo, Sebastian Blanco Leis, Fernando Pardo"
Star Wars. Episode V: The Empire Strikes Back,Irvin Kershner,"Sci-Fi, Adventure, Space Adventure, Sequel, Cult Movie, Star Wars","Mark Hamill, Harrison Ford, Carrie Fisher, Frank Oz, Billy Dee Williams, David Prowse, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, Jeremy Bulloch, Kenneth Colley, Bruce Boa"
The Little Foxes,William Wyler,"Drama, Melodrama, Southern Gothic, 19th Century","Bette Davis, Teresa Wright, Herbert Marshall, Patricia Collinge, Carl Benton Reid, Richard Carlson, Russell Hicks, Charles Dingle, Lucien Littlefield, Hooper Atchley, Dan Duryea, Al Bridge, Charles R. Moore, Tex Driscoll, Lew Kelly, John Marriott"
Dune: Part Two,Denis Villeneuve,"Sci-Fi, Adventure, Action, Drama, Epic film, Sequel","Timothée Chalamet, Zendaya, Rebecca Ferguson, Austin Butler, Javier Bardem, Josh Brolin, Florence Pugh, Stellan Skarsgård, Christopher Walken, Dave Bautista, Léa Seydoux, Charlotte Rampling, Stephen Henderson"
The Woman in the Window,Fritz Lang,"Film noir, Mystery, Thriller, Crime, Painting","Edward G. Robinson, Joan Bennett, Raymond Massey, Edmund Breon, Dan Duryea, Thomas E. Jackson, Dorothy Peterson, Arthur Loft, Frank Dawson"
The Cabinet of Dr. Caligari,Robert Wiene,"Horror, German Expressionism, Circus, Serial Killers, Silent Film, Cult Movie","Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover, Rudolf Klein-Rogge"
The Big Sleep,Howard Hawks,"Film noir, Mystery, Cop Movies, Crime","Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers, Dorothy Malone, Regis Toomey, Elisha Cook Jr., Peggy Knudsen, Charles Waldron, Charles D. Brown, Bob Steele, Elisha Cook Jr., Louis Jean Heydt"
The Night of the Hunter,Charles Laughton,"Mystery, Drama, Film noir, Thriller, Small Town Life (North-american), Southern Gothic, Childhood","Robert Mitchum, Billy Chapin, Sally Ann Bruce, Shelley Winters, Lillian Gish, Peter Graves, Evelyn Varden, James Gleason"
Singin' in the Rain,"Stanley Donen, Gene Kelly","Musical, Comedy, Romance, Film In Film, 1920s, Dancing, Satire","Gene Kelly, Donald O´Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Rita Moreno, Douglas Fowley"
Spirited Away,Hayao Miyazaki,"Animation, Fantasy, Adventure, Dragons, Cult Movie",
The Wind,Victor Sjöström,"Drama, Romance, Western, Melodrama, Silent Film","Lillian Gish, Lars Hanson, Montagu Love, Dorothy Cumming, Margaret Mann, Edward Earle, William Orlamond, Carmencita Johnson, Leon Janney, Si Jenks, Billy Kent Schaefer"
Scenes from a Marriage,Ingmar Bergman,"Drama, Psychological Drama","Liv Ullmann, Erland Josephson, Bibi Andersson, Jan Malmsjö, Anita Wall"
Throne of Blood,Akira Kurosawa,"Drama, Feudal Japan, 16th Century, Samurai","Toshirô Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo, Hiroshi Tachikawa, Minoru Chiaki, Takamaru Sasaki, Gen Shimizu, Kokuten Kôdô, Kichijiro Ueda, Eiko Miyoshi, Chieko Naniwa, Nakajirô Tomita"
Out of the Past,Jacques Tourneur,"Film noir, Mystery, Crime, Cult Movie","Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming, Richard Webb, Steve Brodie, Virginia Huston, Paul Valentine, Ken Niles, Dickie Moore"
Laura,Otto Preminger,"Film noir, Mystery, Drama, Cult Movie","Gene Tierney, Dana Andrews, Clifton Webb, Judith Anderson, Vincent Price"
Notorious,Alfred Hitchcock,"Mystery, Thriller, Film noir, Spy Film, Nazism, Psychological Thriller","Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, Leopoldine Konstantin, Reinhold Schünzel, Moroni Olsen, Ivan Triesault, Alex Minotis, Wally Brown, Charles Mendl, Ricardo Costa, Eberhard Krumschmidt, Fay Baker"
Viridiana,Luis Buñuel,"Drama, Religion, Cult Movie","Silvia Pinal, Fernando Rey, Francisco Rabal, Margarita Lozano, José Calvo, Lola Gaos, Luis Heredia, Victoria Zinny, Joaquín Roa, José Manuel Martín, Juan García Tienda, Sergio Mendizábal, María Isbert, Teresa Rabal"
Rope,Alfred Hitchcock,"Mystery, Crime, Based on a true story, One Location","James Stewart, John Dall, Farley Granger, Cedric Hardwicke, Joan Chandler, Douglas Dick, Constance Collier, Dick Hogan"
Raging Bull,Martin Scorsese,"Drama, Biography, Sports, Boxing","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Mario Gallo, John Turturro, Frank Adonis, Martin Scorsese"
Taxi Driver,Martin Scorsese,"Drama, Prostitution, Crime, Cult Movie","Robert De Niro, Cybill Shepherd, Jodie Foster, Albert Brooks, Harvey Keitel, Peter Boyle, Leonard Harris, Martin Scorsese, Joe Spinell"
The Human Condition II: The Road to Eternity,Masaki Kobayashi,"War, Drama, Army, Friendship, Psychological Drama, II World War, 1940s, Sequel","Tatsuya Nakadai, Michiyo Aratama, Kei Sato, Minoru Chiaki, Keiji Sada, Kaneko Iwasaki, Kokinji Katsura, Michio Minami, Taketoshi Naitô, Kenjirô Uemura, Mayumi Kurata, Hideo Kidokoro, Yoshiaki Aoki"
Faust,F.W. Murnau,"Fantasy, Horror, Drama, Silent Film, German Expressionism","Emil Jannings, Gösta Ekman, Camilla Horn, William Dieterle, Yvette Guilbert, Frida Richard, Eric Barclay, Hanna Ralph, Werner Fuetterer, Hans Brausewetter"
The Asphalt Jungle,John Huston,"Film noir, Thriller, Crime, Heist Film","Sterling Hayden, Louis Calhern, Sam Jaffe, Jean Hagen, James Whitmore, John McIntire, Marc Lawrence, Marilyn Monroe, Barry Kelley, Anthony Caruso, Brad Dexter, Dorothy Tree"
The Bad and the Beautiful,Vincente Minnelli,"Drama, Melodrama, Film In Film","Lana Turner, Kirk Douglas, Walter Pidgeon, Dick Powell, Barry Sullivan, Gloria Grahame, Gilbert Roland, Leo G. Carroll, Vanessa Brown, Paul Stewart, Sammy White, Elaine Stewart, Ivan Triesault"
Wild Strawberries,Ingmar Bergman,"Drama, Old Age / Elderly, Road Movie, Cult Movie","Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Folke Sundquist, Björn Bjelvenstam, Naima Wifstrand, Jullan Kindahl, Max von Sydow, Ake Fridell"
The Elephant Man,David Lynch,"Drama, Biography, Disease/illness, Disability, 19th Century, Cult Movie","Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller, Freddie Jones, Dexter Fletcher"
Manhattan,Woody Allen,"Comedy, Drama, Romance, Romantic Comedy","Woody Allen, Diane Keaton, Mariel Hemingway, Michael Murphy, Meryl Streep, Anne Byrne, ""Michael ODonoghue"", Wallace Shawn, Victor Truro, Tisa Farrow, Karen Ludwig, Frances Conroy, Helen Hanft"
The Human Condition I: No Greater Love,Masaki Kobayashi,"Drama, War, 1940s, II World War, China-Japan War (II)","Tatsuya Nakadai, Michiyo Aratama, Ineko Arima, Chikage Awashima, Keiji Sada, Sô Yamamura, Akira Ishihama, Koji Nambara, Seiji Miyaguchi, Toru Abe, Masao Mishima, Eitarô Ozawa"
Late Spring,Yasujirō Ozu,"Drama, Family Relationships, Weddings","Setsuko Hara, Chishu Ryu, Hohi Aoki, Masao Mishima, Kuniko Miyake, Haruko Sugimura, Jun Usami, Yumeji Tsukioka, Yoshiko Tsubouchi"
You Can't Take it with You,Frank Capra,"Comedy, Screwball comedy, Sophisticated Comedy","James Stewart, Jean Arthur, Lionel Barrymore, Edward Arnold, Mischa Auer, Ann Miller, Spring Byington, Ward Bond, Donald Meek"
Mary and Max,Adam Elliot,"Animation, Drama, Comedy, Comedy-Drama, Friendship, Stop Motion, Claymation, Adult Animation, Disability, Autism / Asperger","Toni Collette, Philip Seymour Hoffman, Barry Humphries"
High Noon,Fred Zinnemann,"Western, Mystery","Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges, Katy Jurado, Lee Van Cleef, Otto Kruger, Lon Chaney Jr., Harry Morgan, Ian MacDonald, Morgan Farley, Sheb Wooley, Robert J. Wilke, Harry Shannon, Eve McVeagh"
Ran,Akira Kurosawa,"Drama, War, Feudal Japan, 16th Century, Family Relationships, Epic film","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Pîtâ, Mieko Harada, Masayuki Yui, Daisuke Ryû, Yoshiko Miyazaki, Hisashi Igawa, Kazuo Katô, Norio Matsui, Kenji Kodama, Toshiya Ito"
On the Waterfront,Elia Kazan,"Drama, Courtroom Drama / Lawyers","Marlon Brando, Eva Marie Saint, Karl Malden, Lee J. Cobb, Pat Henning, James Westerfield, Rod Steiger, Leif Erickson, John Heldabrand, John Hamilton, Martin Balsam, Rudy Bond"
Casino,Martin Scorsese,"Thriller, Drama, Mafia, Crime, Gambling, 1970s, 1980s","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King, Kevin Pollak, L.Q. Jones, Dick Smothers, Frank Vincent, John Bloom, Clem Caserta, Melissa Prophet, Pasquale Cajano, Vinny Vella, Frankie Avalon"
Trainspotting,Danny Boyle,"Drama, Drugs, Comedy-Drama, Cult Movie","Ewan McGregor, Robert Carlyle, Jonny Lee Miller, Ewen Bremner, Kelly MacDonald, Kevin McKidd, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch"
Tokyo Twilight,Yasujirō Ozu,"Drama, Family Relationships, Melodrama","Ineko Arima, Kamatari Fujiwara, Setsuko Hara, Chishu Ryu, Isuzu Yamada, Kinzo Shin, Nobuo Nakamura, Teiji Takahashi, Eiko Miyoshi, Masami Taura, Haruko Sugimura, Sô Yamamura"
The Life of Oharu,Kenji Mizoguchi,"Drama, Feudal Japan, 17th Century, Melodrama","Kinuyo Tanaka, Tsukie Matsuura, Ichiro Sugai, Toshirô Mifune, Toshiaki Konoe, Kiyoko Tsuji, Hisako Yamane, Jûkichi Uno, Eitarô Shindô, Akira Ôizumi, Kyôko Kusajima, Masao Shimizu, Daisuke Kato"
Fury,Fritz Lang,"Thriller, Mystery, Drama, Revenge, Courtroom Drama / Lawyers","Sylvia Sidney, Spencer Tracy, Walter Abel, Bruce Cabot, Edward Ellis, Walter Brennan, Frank Albertson, George Walcott, Arthur Stone, Morgan Wallace, George Chandler, Roger Gray, Edwin Maxwell"
Brief Encounter,David Lean,"Romance, Drama, Romantic Drama, Melodrama, Trains / Subways","Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey, Cyril Raymond, Everley Gregg, Valentine Dyall, Marjorie Mars, Margaret Barton"
Rashomon,Akira Kurosawa,"Mystery, Drama, Crime, Feudal Japan, 12th Century, Samurai, Cult Movie","Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki, Kichijiro Ueda, Noriko Honma, Daisuke Kato"
The 400 Blows,François Truffaut,"Drama, Nouvelle vague (New Wave), Cult Movie, Teen/coming-of-age, Education","Jean-Pierre Léaud, Claire Maurier, Albert Rémy, Guy Decomble, Georges Flamant, Patrick Auffay, Jeanne Moreau"
Alien,Ridley Scott,"Sci-Fi, Horror, Aliens, Space Adventure, Cult Movie","Sigourney Weaver, John Hurt, Yaphet Kotto, Tom Skerritt, Veronica Cartwright, Harry Dean Stanton, Ian Holm"
The Crucified Lovers,Kenji Mizoguchi,"Drama, Romance, Melodrama, 17th Century, Feudal Japan, Romantic Drama","Kazuo Hasegawa, Kyôko Kagawa, Eitarô Shindô, Hisao Toake, Ichiro Sugai, Haruo Tanaka, Eitarô Ozawa, Kazue Tamaki, Hiroshi Mizuno, Nobuko Tanei, Chieko Naniwa, Yôko Minamida, Tatsuya Ishiguro, Shirô Miura"
Make Way For Tomorrow,Leo McCarey,"Drama, Old Age / Elderly, Family Relationships","Victor Moore, Beulah Bondi, Fay Bainter, Thomas Mitchell, Porter Hall, Barbara Read, ""Dennis OKeefe"", Maurice Moscovitch, Minna Gombell"
Rififi,Jules Dassin,"Film noir, Thriller, Crime, Heist Film, French Polar","Jean Servais, Carl Möhner, Robert Manuel, Jules Dassin, Magali Noël, Pierre Grasset, Robert Hossein, Janine Darcey, Marie Sabouret, Claude Sylvain"
For a Few Dollars More,Sergio Leone,"Western, Spaghetti Western, Revenge, Cult Movie","Clint Eastwood, Lee Van Cleef, Gian Maria Volonté, Mara Krupp, Luigi Pistilli, Klaus Kinski, Joseph Egger, Panos Papadopulos, Benito Stefanelli, Roberto Camardiel, Aldo Sambrell, Luis Rodríguez, Tomás Blanco"
Grave of the Fireflies,Isao Takahata,"Animation, Drama, War, II World War, Childhood, Family Relationships, Adult Animation, Cult Movie",
The Roaring Twenties,Raoul Walsh,"Film noir, Thriller, Crime, Mafia, 1920s","James Cagney, Priscilla Lane, Humphrey Bogart, Gladys George, Jeffrey Lynn, Frank McHugh, Paul Kelly, Elisabeth Risdon, Edward Keane, Joe Sawyer, Joseph Crehan, George Meeker, John Hamilton"
Yojimbo,Akira Kurosawa,"Action, Drama, Feudal Japan, 19th Century, Samurai","Toshirô Mifune, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada, Daisuke Kato, Seizaburô Kawazu, Takashi Shimura, Hiroshi Tachikawa, Yosuke Natsuki, Eijirô Tono, Kamatari Fujiwara, Ikio Sawamura, Atsushi Watanabe"
The Exterminating Angel,Luis Buñuel,"Drama, Satire, Surrealism, One Location, Cult Movie","Silvia Pinal, Enrique Rambal, Jacqueline Andere, José Baviera, Augusto Benedico, Claudio Brook, César del Campo, Antonio Bravo"
The Lives of Others,Florian Henckel von Donnersmarck,"Drama, Thriller, Spy Film, Cold War, 1980s","Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur, Thomas Thieme, Hans-Uwe Bauer, Volkmar Kleinert, Matthias Brenner, Charly Hübner, Herbert Knaup, Marie Gruber, Bastian Trost, Thomas Arnold"
Million Dollar Baby,Clint Eastwood,"Drama, Sports, Boxing","Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie, Jay Baruchel, Mike Colter, Lucia Rijker, ""Brian F. OByrne"", Margo Martindale, Riki Lindhome, Michael Peña, Benito Martinez, Bruce McVittie"
Andrei Rublev,Andrei Tarkovsky,"Drama, Biography, 15th Century, Middle Ages, Religion, Painting, Historical","Anatoly Solonitsyn, Ivan Lapikov, Nikolai Sergeyev, Nikolai Grinko, Irma Rausch, Nikolay Burlyaev, Mikhail Kononov, Rolan Bykov, Nelly Snegina, Yuri Nazarov, Yuriy Nikulin, Nikolai Grabbe, Stepan Krylov, Bolot Beyshenaliyev, Irina Miroshnichenko"
